idade_solicitante,salario_solicitante,situacao_propriedade,tempo_trabalhado,motivo,pontuacao,valor_solicitado,taxa_juros,percentual_renda,flag_inadimplencia,anos_primeira_solicitacao,flag_inadimplencia_hist
"23,0","68000,0",Alugada,"1,0",Empreendimento,E,"14400,0","17,99","0,21","1,0",2,0
"25,0","45000,0",Alugada,"0,0",Empreendimento,C,"10000,0","12,98","0,22","0,0",2,1
"23,0","65000,0",Alugada,"2,0",Pagamento de débitos,B,"3600,0","11,49","0,06","0,0",2,0
"23,0","45312,0",Alugada,"3,0",Educativo,A,"13500,0","7,88","0,3","0,0",3,0
"22,0","64000,0",Alugada,"6,0",Educativo,A,"7000,0","5,79","0,11","0,0",3,0
"24,0","40944,0",Alugada,"0,0",Médico,B,"8200,0","11,36","0,2","0,0",4,0
"22,0","44000,0",Hipotecada,"4,0",Educativo,B,"10000,0","12,69","0,23","0,0",2,0
"25,0","120000,0",Alugada,"9,0",Empreendimento,C,"4800,0","14,22","0,04","0,0",4,0
"37,0","60000,0",Alugada,"0,0",Empreendimento,C,"9700,0","13,61","0,16","0,0",11,1
"24,0","29000,0",Hipotecada,"1,0",Médico,D,"6000,0","15,62","0,21","1,0",3,0
"28,0","50000,0",Alugada,"2,0",Educativo,D,"2000,0","16,89","0,04","1,0",5,0
"22,0","95000,0",Hipotecada,"1,0",Empreendimento,C,"7200,0","12,23","0,08","0,0",4,1
"29,0","26000,0",Própria,"5,0",Empreendimento,B,"4500,0","11,71","0,17","0,0",5,0
"35,0","30000,0",Hipotecada,"2,0",Educativo,A,"3300,0","5,99","0,11","0,0",6,0
"27,0","157500,0",Própria,"6,0",Médico,C,"25000,0","12,87","0,16","0,0",6,1
"32,0","53000,0",Alugada,"0,0",Pagamento de débitos,B,"5700,0","9,99","0,11","0,0",9,0
"21,0","47580,0",Hipotecada,"5,0",Educativo,A,"14000,0","6,03","0,29","0,0",2,0
"27,0","42000,0",Alugada,"1,0",Pessoal,B,"5000,0","10,99","0,12","0,0",10,0
"26,0","80004,0",Hipotecada,"7,0",Pagamento de débitos,C,"7500,0","15,23","0,09","1,0",2,1
"24,0","86376,0",Hipotecada,"2,0",Médico,A,"20000,0","7,29","0,23","0,0",3,0
"27,0","58000,0",Alugada,"3,0",Empreendimento,B,"13000,0","11,58","0,22","0,0",7,0
